frame,time_s,count
0,0.0,16
1,0.04,16
2,0.08,15
3,0.12,15
4,0.16,15
5,0.2,15
6,0.24,15
7,0.28,15
8,0.32,15
9,0.36,14
10,0.4,14
11,0.44,14
12,0.48,14
13,0.52,13
14,0.56,13
15,0.6,13
16,0.64,13
17,0.68,13
18,0.72,13
19,0.76,14
20,0.8,14
21,0.84,14
22,0.88,15
23,0.92,14
24,0.96,15
25,1.0,16
26,1.04,15
27,1.08,17
28,1.12,17
29,1.16,17
30,1.2,14
31,1.24,15
32,1.28,15
33,1.32,15
34,1.36,16
35,1.4,16
36,1.44,16
37,1.48,17
38,1.52,17
39,1.56,17
40,1.6,17
41,1.64,18
42,1.68,18
43,1.72,18
44,1.76,18
45,1.8,18
46,1.84,18
47,1.88,18
48,1.92,17
49,1.96,17
50,2.0,17
51,2.04,17
52,2.08,16
53,2.12,16
54,2.16,16
55,2.2,15
56,2.24,15
57,2.28,14
58,2.32,13
59,2.36,14
60,2.4,15
61,2.44,15
62,2.48,14
63,2.52,14
64,2.56,14
65,2.6,14
66,2.64,14
67,2.68,15
68,2.72,15
69,2.76,15
70,2.8,15
71,2.84,15
72,2.88,15
73,2.92,15
74,2.96,15
75,3.0,15
76,3.04,15
77,3.08,15
78,3.12,14
79,3.16,13
80,3.2,15
81,3.24,15
82,3.28,14
83,3.32,15
84,3.36,14
85,3.4,15
86,3.44,15
87,3.48,15
88,3.52,15
89,3.56,14
90,3.6,15
91,3.64,15
92,3.68,14
93,3.72,15
94,3.76,15
95,3.8,15
96,3.84,15
97,3.88,14
98,3.92,16
99,3.96,15
100,4.0,16
101,4.04,16
102,4.08,16
103,4.12,16
104,4.16,17
105,4.2,17
106,4.24,13
107,4.28,14
108,4.32,14
109,4.36,14
110,4.4,13
111,4.44,14
112,4.48,14
113,4.52,15
114,4.56,14
115,4.6,14
116,4.64,15
117,4.68,15
118,4.72,15
119,4.76,14
120,4.8,12
121,4.84,11
122,4.88,13
123,4.92,14
124,4.96,14
125,5.0,14
126,5.04,13
127,5.08,14
128,5.12,14
129,5.16,14
